id,step_name,endpoint,endpoint_body,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge
1,"Item","42","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Item",1,True,,,,,,,
2,"Item_Group","32","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Item_Group",2,True,,,,,,,
3,"Sales_History","36","[{ \"name\": \"@days\", \"value\": 10}]",7,"cus","Sales_History",3,True,,,,,,,
4,"Stock_History","39","[{ \"name\": \"fromdate\", \"value\": 10},{ \"name\": \"todate\", \"value\": 10}]",7,"cus","Stock_History",4,True,,,,,,,
5,"Stock_Level","40","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Stock_Level",5,True,,,,,,,
6,"Location","33","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Location",6,True,,,,,,,
7,"Undelivered_Purchase_Order","35","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Undelivered_Purchase_Order",7,True,,,,,,,
8,"SKU","43","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Item_Location",8,False,,,,,,,
9,"Vendor","31","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Vendor",9,True,,,,,,,
10,"Open_Sales_Order","38","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Open_Sales_Order",10,True,,,,,,,
11,"Customer","41","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Customer",11,True,,,,,,,
12,"Transformation","44","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Transformation",12,True,,,,,,,
13,"Vendor_Extra_Info","45","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Vendor_Extra_Info",13,True,,,,,,,
14,"Item_Extra_Info","46","[{ \"name\": \"\", \"value\": \"\"}]",0,"cus","Item_Extra_Info",14,False,,,,,,,
