id,step_name,endpoint,endpoint_schema,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge,dataareaid
1,"INVENTTABLE","INVENTTABLE",,0,"ax_cus","INVENTTABLE",1,True,,,,,,,,
3,"BOMComponent","BOM",,0,"ax","BOM",3,False,,,,,,,,
4,"BOMVersion","BOMVERSION",,0,"ax","BOMVERSION",4,False,,,,,,,,
8,"InventTableModule","INVENTTABLEMODULE",,0,"ax_cus","INVENTTABLEMODULE",8,True,,,,,,,,
13,"CUSTVENDEXTERNALITEM","CUSTVENDEXTERNALITEM",,0,"ax_cus","CUSTVENDEXTERNALITEM",13,True,,,,,,,,
14,"Transations","INVENTTRANS",,0,"ax","INVENTTRANS",14,True,,,,,,,,
15,"INVENTTRANSORIGIN","INVENTTRANSORIGIN",,0,"ax_cus","INVENTTRANSORIGIN",15,True,,,,,,,,
17,"InventTransferLine","INVENTTRANSFERLINE",,0,"ax_cus","INVENTTRANSFERLINE",17,True,,,,,,,,
19,"Customer","CUSTOMERVIEW",,0,"ax","CUSTOMERVIEW",19,False,,,,,,,,
23,"REQITEMTABLE","REQITEMTABLE",,0,"ax_cus","REQITEMTABLE",23,True,,,,,,,,
5000,"ECORESPRODUCTCATEGORY","ECORESPRODUCTCATEGORY",,0,"ax_cus","ECORESPRODUCTCATEGORY",5000,True,,,,,,,,
5001,"PRICEDISCTABLE","PRICEDISCTABLE",,0,"ax_cus","PRICEDISCTABLE",5001,True,,,,,,,,
5002,"REQGROUP","REQGROUP",,0,"ax_cus","REQGROUP",5002,True,,,,,,,,
5003,"REQSAFETYKEY","REQSAFETYKEY",,0,"ax_cus","REQSAFETYKEY",5003,True,,,,,,,,
5004,"REQSAFETYLINE","REQSAFETYLINE",,0,"ax_cus","REQSAFETYLINE",5004,True,,,,,,,,
5005,"RETAILASSORTMENTLOOKUPCHANNELGROUP","RETAILASSORTMENTLOOKUPCHANNELGROUP",,0,"ax_cus","RETAILASSORTMENTLOOKUPCHANNELGROUP",5005,True,,,,,,,,
5006,"RETAILASSORTMENTLOOKUP","RETAILASSORTMENTLOOKUP",,0,"ax_cus","RETAILASSORTMENTLOOKUP",5006,True,,,,,,,,
5007,"RETAILCHANNELTABLE","RETAILCHANNELTABLE",,0,"ax_cus","RETAILCHANNELTABLE",5007,True,,,,,,,,
5008,"ECORESCATEGORY","ECORESCATEGORY",,0,"ax_cus","ECORESCATEGORY",5008,True,,,,,,,,
5009,"ECORESCATEGORYHIERARCHY","ECORESCATEGORYHIERARCHY",,0,"ax_cus","ECORESCATEGORYHIERARCHY",5009,True,,,,,,,,
5010,"ECORESCATEGORYHIERARCHYROLE","ECORESCATEGORYHIERARCHYROLE",,0,"ax_cus","ECORESCATEGORYHIERARCHYROLE",5010,True,,,,,,,,
5011,"SALESTABLE","SALESTABLE",,0,"ax_cus","SALESTABLE",5011,True,,,,,,,,
5012,"RETAILASSORTMENTTABLE","RETAILASSORTMENTTABLE",,0,"ax","RETAILASSORTMENTTABLE",5012,True,,,,,,,,
5013,"BYKVENDLEADTIME","BYKVENDLEADTIME",,0,"ax_cus","BYKVENDLEADTIME",5013,True,,,,,,,,
5014,"DIRPARTYTABLE","DIRPARTYTABLE",,0,"ax_cus","DIRPARTYTABLE",5014,True,,,,,,,,
5015,"INVENTBUYERGROUP","INVENTBUYERGROUP",,0,"ax_cus","INVENTBUYERGROUP",5015,True,,,,,,,,
5016,"PURCHTABLE","PURCHTABLE",,0,"ax_cus","PURCHTABLE",5016,True,,,,,,,,
5017,"INVENTDIMCOMBINATION","INVENTDIMCOMBINATION",,0,"ax_cus","INVENTDIMCOMBINATION",5017,True,,,,,,,,
5018,"INVENTJOURNALTABLE","INVENTJOURNALTABLE",,0,"ax_cus","INVENTJOURNALTABLE",5018,True,,,,,,,,
5019,"INVENTJOURNALTRANS","INVENTJOURNALTRANS",,0,"ax_cus","INVENTJOURNALTRANS",5019,True,,,,,,,,
5020,"INVENTLOCATION","INVENTLOCATION",,0,"ax_cus","INVENTLOCATION",5020,True,,,,,,,,
5021,"BYKPRODUCTCATEGORYINCLUDEVARIANT","BYKPRODUCTCATEGORYINCLUDEVARIANT",,0,"ax_cus","BYKPRODUCTCATEGORYINCLUDEVARIANT",5021,True,,,,,,,,
5022,"INVENTITEMPURCHSETUP","INVENTITEMPURCHSETUP",,0,"ax_cus","INVENTITEMPURCHSETUP",5022,True,,,,,,,,
5023,"INVENTITEMINVENTSETUP","INVENTITEMINVENTSETUP",,0,"ax_cus","INVENTITEMINVENTSETUP",5023,True,,,,,,,,
5024,"UNITOFMEASURECONVERSION","UNITOFMEASURECONVERSION",,0,"ax_cus","UNITOFMEASURECONVERSION",5024,True,,,,,,,,
5025,"UNITOFMEASURE","UNITOFMEASURE",,0,"ax_cus","UNITOFMEASURE",5025,True,,,,,,,,
