id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
1,"BM010115 - Bill Of Material Line File","BM010115",0,"cus","BM010115",1,True,,,,,,
2,"IV00101 - Item Master","IV00101",0,"cus","IV00101",3,True,,,,,,
3,"IV00102 - Item Quantity Master","IV00102",0,"cus","IV00102",5,True,,,,,,
4,"IV00103 - Item Vendor Master","IV00103",0,"cus","IV00103",7,True,,,,,,
5,"IV00105 - Item Currency Master","IV00105",0,"cus","IV00105",9,True,,,,,,
6,"IV00106 - Item Purchasing","IV00106",0,"cus","IV00106",11,True,,,,,,
7,"IV30300 - Inventory Transaction Amounts History","IV30300",0,"cus","IV30300",13,True,,,,,,
8,"IV30701 - Stock Count Line History","IV30701",0,"cus","IV30701",15,True,,,,,,
9,"IV40700 - Site Setup","IV40700",0,"cus","IV40700",17,True,,,,,,
10,"MOP1110 - MOP Receipt Detail","MOP1110",0,"cus","MOP1110",19,True,,,,,,
11,"MOP1100 - MOP Receipt MSTR","MOP1100",0,"cus","MOP1100",21,True,,,,,,
12,"PM00200 - PM Vendor Master File","PM00200",0,"cus","PM00200",23,True,,,,,,
13,"POP10110 - Purchase Order Line","POP10110",0,"cus","POP10110",25,True,,,,,,
14,"RM00101 - RM Customer MSTR","RM00101",0,"cus","RM00101",27,True,,,,,,
15,"SOP10100 - Sales Transaction Work","SOP10100",0,"cus","SOP10100",29,True,,,,,,
16,"SOP10200 - Sales Transaction Amounts Work","SOP10200",0,"cus","SOP10200",31,True,,,,,,
17,"SOP30200 - Sales Transaction History","SOP30200",0,"cus","SOP30200",33,True,,,,,,
18,"SOP30300 - Sales Transaction Amounts History","SOP30300",0,"cus","SOP30300",35,True,,,,,,
19,"IV10200 - Inventory Purchase Receipts Work","IV10200",0,"cus","IV10200",36,True,,,,,,
20,"IV10201 - Inventory Purchase Receipts Detail","IV10201",0,"cus","IV10201",37,True,,,,,,
